Date,Asset,Buy Date, Sell Date,Buy Price,Sell Price,Profit,Profit %
Apr/28/2018 2:00:01 PM,ADABTC,Apr/28/2018 11:45:23 AM,Apr/28/2018 2:00:01 PM,3.649E-5,3.759E-5,1.0999999999999996E-6,3.014524527267744
Apr/28/2018 2:15:00 PM,EOSBTC,Apr/28/2018 2:15:00 PM,Apr/28/2018 2:00:01 PM,0.002032,3.759E-5,1.0999999999999996E-6,3.014524527267744
Apr/28/2018 3:00:29 PM,ADABTC,Apr/28/2018 3:00:29 PM,Apr/28/2018 2:00:01 PM,3.807E-5,3.759E-5,1.0999999999999996E-6,3.014524527267744
Apr/28/2018 3:00:30 PM,ADABTC,Apr/28/2018 3:00:30 PM,Apr/28/2018 2:00:01 PM,3.807E-5,3.759E-5,1.0999999999999996E-6,3.014524527267744
Apr/28/2018 3:15:21 PM,EOSBTC,Apr/28/2018 3:00:30 PM,Apr/28/2018 3:15:21 PM,3.807E-5,0.0020105,0.0019724300000000003,5181.061203047019
Apr/28/2018 3:45:01 PM,ADABTC,Apr/28/2018 3:00:30 PM,Apr/28/2018 3:45:01 PM,3.807E-5,3.772E-5,-3.5000000000000173E-7,-0.9193590753874487
Apr/28/2018 3:45:03 PM,ADABTC,Apr/28/2018 3:00:30 PM,Apr/28/2018 3:45:03 PM,3.807E-5,3.776E-5,-3.100000000000021E-7,-0.8142894667717419
Apr/28/2018 3:45:22 PM,EOSBTC,Apr/28/2018 3:45:22 PM,Apr/28/2018 3:45:03 PM,0.0020327,3.776E-5,-3.100000000000021E-7,-0.8142894667717419
Apr/28/2018 3:45:22 PM,EOSBTC,Apr/28/2018 3:45:22 PM,Apr/28/2018 3:45:03 PM,0.0020327,3.776E-5,-3.100000000000021E-7,-0.8142894667717419
Apr/28/2018 5:45:03 PM,EOSBTC,Apr/28/2018 3:45:22 PM,Apr/28/2018 5:45:03 PM,0.0020327,0.0020204,-1.2300000000000245E-5,-0.6051065085846531
Apr/28/2018 5:45:24 PM,EOSBTC,Apr/28/2018 3:45:22 PM,Apr/28/2018 5:45:24 PM,0.0020327,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 6:15:25 PM,ADABTC,Apr/28/2018 6:15:25 PM,Apr/28/2018 5:45:24 PM,3.77E-5,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 6:15:41 PM,ADABTC,Apr/28/2018 6:15:41 PM,Apr/28/2018 5:45:24 PM,3.773E-5,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 6:15:49 PM,ADABTC,Apr/28/2018 6:15:49 PM,Apr/28/2018 5:45:24 PM,3.772E-5,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 6:15:50 PM,ADABTC,Apr/28/2018 6:15:50 PM,Apr/28/2018 5:45:24 PM,3.775E-5,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 8:30:03 PM,EOSBTC,Apr/28/2018 8:30:03 PM,Apr/28/2018 5:45:24 PM,0.002044,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 8:30:12 PM,EOSBTC,Apr/28/2018 8:30:12 PM,Apr/28/2018 5:45:24 PM,0.0020437,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 8:30:23 PM,EOSBTC,Apr/28/2018 8:30:23 PM,Apr/28/2018 5:45:24 PM,0.0020407,0.0020223,-1.0400000000000253E-5,-0.511634771486213
Apr/28/2018 10:00:12 PM,ADABTC,Apr/28/2018 8:30:23 PM,Apr/28/2018 10:00:12 PM,0.0020407,3.959E-5,-0.00200111,-98.05997941882688
Apr/28/2018 10:00:15 PM,ADABTC,Apr/28/2018 8:30:23 PM,Apr/28/2018 10:00:15 PM,0.0020407,3.953E-5,-0.00200117,-98.06291958641643
Apr/28/2018 10:00:20 PM,ADABTC,Apr/28/2018 8:30:23 PM,Apr/28/2018 10:00:20 PM,0.0020407,3.954E-5,-0.00200116,-98.06242955848484
Apr/28/2018 10:00:24 PM,ADABTC,Apr/28/2018 8:30:23 PM,Apr/28/2018 10:00:24 PM,0.0020407,3.956E-5,-0.0020011399999999998,-98.06144950262164
